1,Jets,-3.5,-110,Falcons,3.5,-110,31,16,Falcons,120
1,Buccaneers,0,-110,Patriots,0,-110,13,10,Patriots,150
1,Saints,-5.5,-110,Bills,5.5,-110,10,13,Bills,140
1,Titans,-3,-110,Redskins,3,-110,6,14,Redskins,150
1,Texans,2,-110,Bears,-2,-110,19,20,Bears,150
1,Ravens,-3,-110,Eagles,3,-110,29,3,Eagles,110
2,Chiefs,-3.5,-110,Dolphins,3.5,-110,10,11,Chiefs,100
2,Bills,-3.5,-110,Falcons,3.5,-110,10,13,Bills,150
2,Patriots,-5.5,-110,Titans,5.5,-110,24,27,Titans,90
2,Jets,-4,-110,Vikings,4,-110,20,37,Vikings,70
2,Browns,-3,-110,Lions,3,-110,20,23,Lions,50
2,Bengals,-3,-110,Saints,3,-110,19,27,Bengals,80
2,Jaguars,-4,-108,Buccaneers,4,-108,31,19,Jaguars,110
2,Redskins,2,-110,Steelers,-2,-110,10,12,Steelers,80
2,49ers,-3.5,-110,Raiders,3.5,-110,26,21,Raiders,100
3,Chiefs,0,-110,Saints,0,-110,7,30,Saints,120
3,Raiders,0,-110,Rams,0,-110,20,10,Raiders,50
3,Giants,0,-108,Jets,0,-108,12,20,Giants,120
3,Bears,-7,-110,49ers,7,-110,31,28,49ers,150
3,Texans,2.5,-110,Cowboys,-2.5,-110,28,16,Cowboys,60
3,Seahawks,-6,-110,Vikings,6,-110,30,13,Vikings,50
3,Cardinals,2,-108,Chargers,-2,-108,31,33,Cardinals,90
3,Steelers,-2.5,-110,Eagles,2.5,-110,27,13,Steelers,100
3,Falcons,3,-110,Bengals,-3,-110,24,19,Bengals,90
4,Eagles,-2.5,-110,Jets,2.5,-110,11,13,Eagles,60
4,Patriots,-4.5,-110,Giants,4.5,-110,27,20,Patriots,70
4,Vikings,2,-110,Cowboys,-2,-110,23,14,Vikings,70
4,Rams,-2.5,-108,Chiefs,2.5,-108,10,3,Rams,90
4,Saints,0,-108,Dolphins,0,-108,7,0,Saints,100
4,Chargers,-3,-110,49ers,3,-110,16,13,Chargers,150
4,Seahawks,-3,-110,Raiders,3,-110,19,14,Seahawks,80
4,Falcons,3.5,-110,Ravens,-3.5,-110,13,10,Ravens,90
5,Colts,-6.5,-110,Saints,6.5,-110,41,10,Colts,50
5,Bills,3,-108,Broncos,-3,-108,14,15,Broncos,50
5,Browns,4.5,-110,Steelers,-4.5,-110,7,34,Browns,60
5,Jaguars,-6.5,-110,Titans,6.5,-110,10,13,Jaguars,110
5,Rams,-1,-110,Panthers,1,-110,13,27,Rams,70
5,Packers,3,-110,Eagles,-3,-110,16,13,Eagles,100
5,Vikings,0,-110,Falcons,0,-110,24,3,Vikings,70
5,Redskins,-3,-110,Dolphins,3,-110,16,13,Redskins,80
5,Jets,6.5,-110,Patriots,-6.5,-110,14,38,Patriots,70
5,Seahawks,-6,-110,Buccaneers,6,-110,20,6,Buccaneers,130
5,Chargers,-6.5,-110,Bears,6.5,-110,14,3,Bears,90
5,Raiders,-2.5,-110,Lions,2.5,-110,21,36,Lions,60
5,Cowboys,-4,-110,Giants,4,-110,45,35,Giants,60
5,Bengals,-3,-110,Ravens,3,-110,27,20,Ravens,110
5,49ers,-3.5,-110,Cardinals,3.5,-110,20,17,49ers,140
